county_code,county_desc,desc_upper
AL,Allen,ALLEN
AN,Anderson,ANDERSON
AT,Atchison,ATCHISON
BA,Barber,BARBER
BB,Bourbon,BOURBON
BR,Brown,BROWN
BT,Barton,BARTON
BU,Butler,BUTLER
CA,Clark,CLARK
CD,Cloud,CLOUD
CF,Coffey,COFFEY
CK,Cherokee,CHEROKEE
CL,Cowley,COWLEY
CM,Comanche,COMANCHE
CN,Cheyenne,CHEYENNE
CQ,Chautauqua,CHAUTAUQUA
CR,Crawford,CRAWFORD
CS,Chase,CHASE
CY,Clay,CLAY
DC,Decatur,DECATUR
DG,Douglas,DOUGLAS
DK,Dickinson,DICKINSON
DP,Doniphan,DONIPHAN
ED,Edwards,EDWARDS
EK,Elk,ELK
EL,Ellis,ELLIS
EW,Ellsworth,ELLSWORTH
FI,Finney,FINNEY
FO,Ford,FORD
FR,Franklin,FRANKLIN
GE,Geary,GEARY
GH,Graham,GRAHAM
GL,Greeley,GREELEY
GO,Gove,GOVE
GT,Grant,GRANT
GW,Greenwood,GREENWOOD
GY,Gray,GRAY
HG,Hodgeman,HODGEMAN
HM,Hamilton,HAMILTON
HP,Harper,HARPER
HS,Haskell,HASKELL
HV,Harvey,HARVEY
JA,Jackson,JACKSON
JF,Jefferson,JEFFERSON
JO,Johnson,JOHNSON
JW,Jewell,JEWELL
KE,Kearny,KEARNY
KM,Kingman,KINGMAN
KW,Kiowa,KIOWA
LB,Labette,LABETTE
LC,Lincoln,LINCOLN
LE,Lane,LANE
LG,Logan,LOGAN
LN,Linn,LINN
LV,Leavenworth,LEAVENWORTH
LY,Lyon,LYON
MC,Mitchell,MITCHELL
ME,Meade,MEADE
MG,Montgomery,MONTGOMERY
MI,Miami,MIAMI
MN,Marion,MARION
MP,McPherson,MCPHERSON
MR,Morris,MORRIS
MS,Marshall,MARSHALL
MT,Morton,MORTON
NM,Nemaha,NEMAHA
NO,Neosho,NEOSHO
NS,Ness,NESS
NT,Norton,NORTON
OB,Osborne,OSBORNE
OS,Osage,OSAGE
OT,Ottawa,OTTAWA
PL,Phillips,PHILLIPS
PN,Pawnee,PAWNEE
PR,Pratt,PRATT
PT,Pottawatomie,POTTAWATOMIE
RA,Rawlins,RAWLINS
RE,Rice,RICE
RH,Rush,RUSH
RL,Riley,RILEY
RN,Reno,RENO
RO,Rooks,ROOKS
RP,Republic,REPUBLIC
RS,Russell,RUSSELL
SA,Saline,SALINE
SC,Scott,SCOTT
SD,Sheridan,SHERIDAN
SF,Stafford,STAFFORD
SG,Sedgwick,SEDGWICK
SH,Sherman,SHERMAN
SM,Smith,SMITH
SN,Shawnee,SHAWNEE
ST,Stanton,STANTON
SU,Sumner,SUMNER
SV,Stevens,STEVENS
SW,Seward,SEWARD
TH,Thomas,THOMAS
TR,Trego,TREGO
WA,Wallace,WALLACE
WB,Wabaunsee,WABAUNSEE
WH,Wichita,WICHITA
WL,Wilson,WILSON
WO,Woodson,WOODSON
WS,Washington,WASHINGTON
WY,Wyandotte,WYANDOTTE
