id_ur,county_desc,u_r_code,avg_has_zero,avg_has_one,avg_has_two,avg_has_3more
20001R,Allen,R,3074.44,1268.89,818.132,2314.53
20001U,Allen,U,1496.76,1107.86,629.955,1688.42
20003R,Anderson,R,2491.65,431.837,712.834,1406.68
20003U,Anderson,U,1127.71,422.422,289.669,1064.2
20005R,Atchison,R,1128,449.469,285.401,1015.12
20005U,Atchison,U,3699.15,1483.16,1114.94,3961.76
20007R,Barber,R,1366.73,1339.59,504.19,1147.49
20009R,Barton,R,2675.27,2259.43,1059.02,2218.28
20009U,Barton,U,5907.99,4627.39,2297.94,4612.68
20011R,Bourbon,R,3480.74,696.739,915.474,2057.04
20011U,Bourbon,U,2361.8,1417.12,659.424,2846.66
20013R,Brown,R,1285.81,563.356,385.878,1094.96
20013U,Brown,U,1085.65,415.741,202.29,1118.32
20015R,Butler,R,11817,2910.31,3708.96,9545.76
20015U,Butler,U,11256.8,8292.12,4058.76,15400.3
20017R,Chase,R,1467.2,274.884,403.8,440.118
20019R,Chautauqua,R,1689.28,302.785,532.698,705.234
20021R,Cherokee,R,3317.41,1819.93,1765.05,2949.61
20021U,Cherokee,U,2779.78,2448.71,1295.37,3305.14
20023R,Cheyenne,R,1162.22,502.975,426.531,508.272
20025R,Clark,R,953.748,339.102,232.707,437.442
20027R,Clay,R,1287.06,1222.29,534.612,948.041
20027U,Clay,U,845.658,1344.39,692.463,1150.49
20029R,Cloud,R,1379.31,1181.61,512.939,1065.14
20029U,Cloud,U,1742.46,842.145,609.419,1308.98
20031R,Coffey,R,2320.43,829.129,645.565,1999.88
20031U,Coffey,U,623.177,563.243,265.338,911.243
20033R,Comanche,R,886.961,192.145,255.429,355.465
20035R,Cowley,R,4876.87,1606.49,1474.73,3354.9
20035U,Cowley,U,7223.02,5266.03,2953.49,7872.46
20037R,Crawford,R,3693.45,3712.87,1882.91,4415.77
20037U,Crawford,U,4363.61,7530.47,4636.29,8494.63
20039R,Decatur,R,1173.49,528.735,387.955,685.823
20041R,Dickinson,R,4889.28,2726.2,1539.73,2980.78
20041U,Dickinson,U,2600.98,1311.41,804.327,1413.28
20043R,Doniphan,R,1029.85,476.2,288.19,895.762
20043U,Doniphan,U,841.247,349.646,182.812,742.295
20045R,Douglas,R,7130.88,2291.76,2141.41,5934.95
20045U,Douglas,U,31394.9,17857,13652.6,42124.5
20047R,Edwards,R,1082.63,661.914,376.073,629.379
20049R,Elk,R,1228.61,354.603,325.615,598.177
20051R,Ellis,R,2118.04,2728.42,1153.66,1792.88
20051U,Ellis,U,4450.52,6978.19,3604.16,5844.12
20053R,Ellsworth,R,1415.68,913.342,462.649,696.327
20053U,Ellsworth,U,513.184,702.961,659.669,670.186
20055R,Finney,R,3231.54,885.841,888.34,2117.28
20055U,Finney,U,9714.34,6041.28,2697.35,10341
20057R,Ford,R,3530.09,888.327,934.286,2071.3
20057U,Ford,U,8550.29,5769.34,2465.12,8885.24
20059R,Franklin,R,6478.68,1308.82,1550.08,4567.43
20059U,Franklin,U,4552.5,1684.75,994.689,4561.06
20061R,Geary,R,2091.05,1125.13,726.921,1585.9
20061U,Geary,U,9494.37,6192.68,3635.3,7360.65
20063R,Gove,R,1115.64,686.567,359.927,458.866
20065R,Graham,R,735.667,781.261,288.581,583.492
20067R,Grant,R,681.896,266.068,179.211,372.825
20067U,Grant,U,1994.45,1496.4,708.045,1378.1
20069R,Gray,R,2613.51,1054.52,703.701,1582.27
20071R,Greeley,R,484.98,203.683,141.306,366.032
20073R,Greenwood,R,1731.9,638.15,574.549,816.399
20073U,Greenwood,U,675.581,531.429,286.512,613.478
20075R,Hamilton,R,975.567,433.324,218.685,797.424
20077R,Harper,R,1439.37,1476.29,700.794,1719.55
20079R,Harvey,R,4497,1493,1334.68,3821.32
20079U,Harvey,U,6838.49,4986.88,2192.59,9127.04
20081R,Haskell,R,1560.95,649.347,434.163,1278.54
20083R,Hodgeman,R,859.889,234.871,224.594,459.646
20085R,Jackson,R,2178.1,706.744,616.667,1520.99
20085U,Jackson,U,1367.41,661.578,402.449,694.567
20087R,Jefferson,R,7455.08,2774.04,2328.28,6246.6
20087U,Jefferson,U,78.2132,42.8299,33.3424,73.6145
20089R,Jewell,R,1149.82,746.939,368.526,567.719
20091R,Johnson,R,8329.13,5620.18,4366.91,11835.8
20091U,Johnson,U,98168.9,119434,117348,242088
20093R,Kearny,R,1443.32,763.12,455.982,1082.58
20095R,Kingman,R,2009.53,565.968,628.712,1306.79
20095U,Kingman,U,793.984,531.102,200.027,937.887
20097R,Kiowa,R,1127.18,360.136,330.712,637.968
20099R,Labette,R,5111.22,991.982,1362.7,3357.1
20099U,Labette,U,2846.18,2123.83,1124.29,2668.7
20101R,Lane,R,537.547,357.542,193.152,429.76
20103R,Leavenworth,R,10676.8,3251.64,3171.48,8592.09
20103U,Leavenworth,U,15681.5,12208.2,7284.82,21379.4
20105R,Lincoln,R,1251.88,619.646,392.136,722.34
20107R,Linn,R,3885.71,2021.02,1215.37,2531.9
20109R,Logan,R,1097.81,638.766,440.172,555.247
20111R,Lyon,R,4071.37,992.127,1258.53,2759.97
20111U,Lyon,U,3593.81,6180.47,4089.13,10099.6
20113R,McPherson,R,4898.81,2534.46,1596.44,4095.3
20113U,McPherson,U,3895.16,3771.66,1961.21,5694.97
20115R,Marion,R,3855.7,1632.8,1078.31,2844.19
20115U,Marion,U,723.367,479.401,243.501,794.73
20117R,Marshall,R,3002.11,1501.91,882.44,1588.54
20117U,Marshall,U,1097.56,462.721,357.578,759.138
20119R,Meade,R,2308.73,283.556,691.138,745.578
20121R,Miami,R,8743.65,1404.03,1893.75,6054.57
20121U,Miami,U,5632.35,2702.15,1568.62,6330.88
20123R,Mitchell,R,1002.32,878.698,318.635,619.352
20123U,Mitchell,U,1279.49,671.814,394.571,714.127
20125R,Montgomery,R,6246.34,1780.24,1746.83,4476.59
20125U,Montgomery,U,5642.31,3857.22,1928.15,5824.32
20127R,Morris,R,1723.72,1937.41,681.197,1216.67
20129R,Morton,R,1206.16,309.868,308.073,713.896
20131R,Nemaha,R,3646.2,1049,991.283,2104.52
20131U,Nemaha,U,944.494,305.224,181.501,898.78
20133R,Neosho,R,3286.45,950.73,926.676,2204.15
20133U,Neosho,U,1357.59,2510.51,1633.56,3059.34
20135R,Ness,R,914.095,954.721,316.472,582.712
20137R,Norton,R,1188.77,621.796,333.27,528.163
20137U,Norton,U,701.832,885.043,350.639,718.485
20139R,Osage,R,5586.97,1716.48,1478.72,4593.84
20139U,Osage,U,682.481,515.193,239.882,956.444
20141R,Osborne,R,1019.14,1184.13,477.524,758.213
20143R,Ottawa,R,2156.96,1223.23,712.871,1618.94
20145R,Pawnee,R,931.166,477.909,289.383,415.542
20145U,Pawnee,U,1272.81,1058.32,673.302,1247.57
20147R,Phillips,R,1206.95,745.669,380.073,582.313
20147U,Phillips,U,561.519,698.812,187.447,818.222
20149R,Pottawatomie,R,4672.85,4753.81,2122.64,3834.69
20149U,Pottawatomie,U,2892.95,3000.44,1051.78,2388.83
20151R,Pratt,R,1305.92,694.585,419.701,605.791
20151U,Pratt,U,2253.94,1527.38,798.077,1521.6
20153R,Rawlins,R,1335.09,211.737,344.1,620.073
20155R,Reno,R,7642.94,3661.1,2440.49,6743.47
20155U,Reno,U,13154.9,8900.39,4529.56,14720.1
20157R,Republic,R,1897.92,704.381,451.229,1482.47
20159R,Rice,R,2156.5,1522.96,862.29,1564.25
20159U,Rice,U,821.574,874.644,544.93,1014.85
20161R,Riley,R,4990.95,3580.17,1939.87,3282.01
20161U,Riley,U,18582.1,14806.4,10257.8,15762.7
20163R,Rooks,R,1531.17,1474.12,645.714,1175.99
20165R,Rush,R,960.433,949.519,353.098,683.95
20167R,Russell,R,1072.78,820.862,372.417,582.939
20167U,Russell,U,881.83,1375.35,660.871,1036.95
20169R,Saline,R,3654.7,1077.4,924.517,2495.38
20169U,Saline,U,14747.9,10972.2,5488.68,14565.3
20171R,Scott,R,680.317,179.882,195.492,328.308
20171U,Scott,U,1081.34,751.578,349.528,1223.55
20173R,Sedgwick,R,14378,7741.05,5882.54,15677.5
20173U,Sedgwick,U,108244,108298,69035.2,190625
20175R,Seward,R,1436.66,177.483,431.506,512.349
20175U,Seward,U,7999.92,3171.24,2521.66,4787.17
20177R,Shawnee,R,10110.5,4772.32,3496.59,9903.61
20177U,Shawnee,U,38965.1,32431.1,18566.5,57753.3
20179R,Sheridan,R,899.261,662.145,315.107,643.488
20181R,Sherman,R,740.662,184,231.637,327.701
20181U,Sherman,U,1388.47,394.431,828.807,1681.29
20183R,Smith,R,1166.84,1081.09,440.707,855.365
20185R,Stafford,R,1237.56,1249.3,567.397,991.746
20187R,Stanton,R,834.27,391.474,206.258,536.998
20189R,Stevens,R,959.431,316.444,252.934,484.19
20189U,Stevens,U,1173.53,803.755,428.571,969.143
20191R,Sumner,R,5762.57,2615.73,1925.57,4027.13
20191U,Sumner,U,3992.69,843.138,1148.88,2262.29
20193R,Thomas,R,1083.44,514.485,377.524,559.547
20193U,Thomas,U,1665.35,1119.69,639.746,1742.21
20195R,Trego,R,790.417,971.574,400.064,595.946
20197R,Wabaunsee,R,2336.95,1530.41,944.109,2094.53
20199R,Wallace,R,698.068,271.419,229.986,336.526
20201R,Washington,R,2453.91,1112.64,725.261,1135.18
20203R,Wichita,R,846.463,357.442,256.054,614.041
20205R,Wilson,R,3089.16,569.506,966.512,1553.82
20205U,Wilson,U,721.104,523.528,297.07,641.297
20207R,Woodson,R,1389.99,374.603,366.567,883.837
20209R,Wyandotte,R,2258.02,2300.18,1873.69,4189.12
20209U,Wyandotte,U,24201.3,42183.5,30090.3,58169
